旧会社,旧コード,旧バス停名(フル),新会社,新コード,新バス停名(フル),変更内容,距離(m)
サンプルバス※旧,841234,みどり町／サンプルバス※旧,サンプルバス,1514600,みどり町／サンプルバス,駅コード変更,0
サンプルバス※旧,841235,こもれび橋／サンプルバス※旧,サンプルバス,1514601,こもれび橋／サンプルバス,駅コード変更,0
サンプルバス※旧,849999,こもれび橋／サンプルバス※旧,サンプルバス,1514777,こもれび橋北／サンプルバス,駅コード変更、バス停名変更,120
サンプルバス※旧,841236,さくら競技場／サンプルバス※旧,サンプルバス,1514700,さくら競技場／サンプルバス,駅コード変更,0
サンプルバス※旧,841237,中央駅前／サンプルバス※旧,サンプルバス,1514650,中央駅前／サンプルバス,駅コード変更,0
サンプルバス※旧,841300,いちょう坂／サンプルバス※旧,サンプルバス,841300,いちょう坂／サンプルバス,駅コード変更無し,0
サンプルバス※旧,841301,上宿／サンプルバス※旧,サンプルバス,841301,上宿(北町)／サンプルバス,駅コード変更無し,0
サンプルバス※旧,841400,西口／サンプルバス※旧,サンプルバス,1514800,中央口／サンプルバス,駅コード変更、バス停名変更,35
サンプルバス※旧,841401,東口／サンプルバス※旧,サンプルバス,1514800,中央口／サンプルバス,駅コード変更、バス停名変更,40
サンプルバス※旧,841500,あおば台／サンプルバス※旧,サンプルバス,1514900,あおば台／サンプルバス,駅コード変更,0
サンプルバス※旧,841500,あおば台／サンプルバス※旧,サンプルバス,1514901,あおば台南／サンプルバス,駅コード変更、バス停名変更,180
